"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         292,       2.717826429,       5.385524739,       4.815863471,       7.783022072
          0,           0,         293,       2.735525786,       5.403219065,       4.833486429,       7.800697391
          0,           0,         294,       2.772567365,       5.440314057,       4.870282722,       7.837787455
          0,           0,         295,       2.783766283,       5.451488347,       4.881452989,       7.848932841
          0,           0,         296,       2.795358288,       5.463062204,       4.893009075,       7.860481452
          0,           0,         297,       2.807117279,       5.474807556,       4.904707449,       7.872199892
          0,           0,         298,       2.817877524,       5.485558157,       4.915392856,       7.882923033
          0,           0,         299,       2.827502838,       5.495179234,       4.924934309,        7.89251988
          0,           0,         300,       2.851489575,       5.519176257,       4.949033821,       7.916552617
          0,           0,         301,       2.853652424,       5.521345799,       4.950830888,       7.918644575
          0,           0,         302,       2.861697763,       5.529396214,        4.95874277,       7.926655724
          0,           0,         303,       2.873192818,       5.540892695,       4.970105021,       7.938119788
          0,           0,         304,       2.884958989,       5.552641661,       4.981828185,       7.949825662
          0,           0,         305,       2.896268832,       5.563944578,       4.993239567,       7.961106208
          0,           0,         306,        2.90176989,       5.569423944,       4.998735315,       7.966534246
          0,           0,         307,       2.909174297,       5.576817992,       5.006316357,       7.973933337
          0,           0,         308,       2.928089605,       5.595724435,       5.024999156,       7.992756779
          0,           0,         309,       2.925552548,       5.593165344,       5.022474146,       7.990138529
          0,           0,         310,       3.004738734,       5.672363273,       5.101049321,       8.069227335
          0,           0,         311,       3.104514364,       5.772160077,       5.200618731,       8.168969995
          0,           0,         312,       3.163431709,       5.831097546,       5.259366308,       8.227899266
          0,           0,         313,       3.173648761,       5.841371327,       5.269479598,       8.238230458
          0,           0,         314,       3.288094451,       5.955815701,        5.38379575,       8.352615752
          0,           0,         315,       3.447781876,       6.115506669,       5.543454493,       8.512300656
          0,           0,         316,       3.458784988,       6.126510701,        5.55444628,       8.523302872
          0,           0,         317,       3.423564312,       6.091289577,       5.519218292,       8.488080196
